step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
325.0,14,152.0,3.4545454545454546,5.768067008133763,14,364.0,0.29866881306946463,14,364.0,False,,
330.0,17,189.0,4.395348837209302,4.3144888018398495,17,407.0,0.194423986180129,17,407.0,False,,
335.0,14,229.0,5.325581395348837,4.821742242277438,14,431.0,0.24575648902484185,14,431.0,False,,
340.0,16,174.0,4.046511627906977,4.028250670067283,16,418.0,0.1521601447754784,16,418.0,False,,
345.0,21,260.0,6.341463414634147,3.783350207112493,21,444.0,0.15802287395971365,21,444.0,False,,
350.0,23,328.0,7.627906976744186,3.573014210021262,23,522.0,0.0881119806872902,23,522.0,False,,
355.0,18,374.0,8.69767441860465,4.772136594943231,18,567.0,0.19809794725529364,18,567.0,False,,
360.0,13,255.0,6.375,3.7391379901026385,13,523.0,0.11201417101764839,13,523.0,False,,
365.0,14,186.0,3.875,6.310239905689682,14,416.0,0.3636925422965477,14,416.0,False,,
370.0,13,201.0,4.466666666666667,4.853852658111477,13,425.0,0.24395473389657107,13,425.0,False,,
375.0,18,216.0,4.595744680851064,4.786746776735829,18,439.0,0.21169171136755863,18,439.0,False,,
380.0,18,293.0,6.659090909090909,5.140882685815999,18,461.0,0.17060993845930206,18,461.0,False,,
385.0,20,386.0,8.391304347826088,6.651703279934552,20,531.0,0.31505724022149856,20,531.0,False,,
390.0,17,385.0,9.871794871794872,4.845753955625154,17,563.0,0.20858491257033915,17,563.0,False,,
395.0,23,484.0,12.41025641025641,3.9108966963540532,23,622.0,0.12737315361930307,23,622.0,False,,
400.0,21,559.0,13.30952380952381,4.661253394979051,21,718.0,0.244481684819596,21,718.0,False,,
405.0,17,627.0,14.928571428571429,5.310460695495437,17,777.0,0.27233957887284865,17,777.0,False,,
410.0,14,485.0,11.279069767441861,4.560215834204504,14,732.0,0.1936332200732094,14,732.0,False,,
415.0,16,380.0,9.047619047619047,4.829153012089724,16,602.0,0.21968294529952842,16,602.0,False,,
420.0,16,384.0,9.6,3.883917271801131,16,658.0,0.14473268991489563,16,658.0,False,,
425.0,18,440.0,10.476190476190476,5.089035297127966,18,702.0,0.23208237937531678,18,702.0,False,,
430.0,19,528.0,13.538461538461538,5.415571889213462,19,774.0,0.16287028106548623,19,774.0,False,,
435.0,15,540.0,11.48936170212766,6.430883708726557,15,755.0,0.3653750770414988,15,755.0,False,,
440.0,13,537.0,12.488372093023257,6.959152518671993,13,674.0,0.39520596042960715,13,674.0,False,,
445.0,14,184.0,4.088888888888889,4.986559410598461,14,418.0,0.2531201398541586,14,418.0,False,,
450.0,25,293.0,7.146341463414634,4.543217769311693,25,388.0,0.17478525605117615,25,388.0,False,,
455.0,22,230.0,5.476190476190476,3.636899187012015,22,425.0,0.12559134760183405,22,425.0,False,,
460.0,24,330.0,8.25,4.456108897238598,24,442.0,0.16702601491954797,24,442.0,False,,
465.0,22,301.0,7.166666666666667,3.4327777990087602,22,504.0,0.12345014123980107,22,504.0,False,,
470.0,16,252.0,5.7272727272727275,5.083441450627522,16,500.0,0.2774425349654128,16,500.0,False,,
475.0,12,137.0,3.1136363636363638,5.512662468981891,12,468.0,0.2983077297905702,12,468.0,False,,
480.0,12,82.0,1.9523809523809523,5.03321536662212,12,378.0,0.23982900781561178,12,378.0,False,,
485.0,15,97.0,2.2045454545454546,3.9589939225740447,15,354.0,0.16588110699376454,15,354.0,False,,
490.0,16,117.0,2.7209302325581395,4.486338506355188,16,336.0,0.1703266366211303,16,336.0,False,,
495.0,15,174.0,4.046511627906977,6.167911109531966,15,325.0,0.2422862282216001,15,325.0,False,,
500.0,11,168.0,4.2,5.3115331616320605,11,321.0,0.2495727253426659,11,321.0,False,,
505.0,15,203.0,4.951219512195122,5.612578636673294,15,294.0,0.30413717842368404,15,294.0,False,,
510.0,18,242.0,5.377777777777778,5.632048281683192,18,345.0,0.31582868621198534,18,345.0,False,,
515.0,14,268.0,6.232558139534884,4.658839513349292,14,363.0,0.1675249653101996,14,363.0,False,,
520.0,18,337.0,7.659090909090909,6.285300536054183,18,405.0,0.27410313158454125,18,405.0,False,,
525.0,15,143.0,3.6666666666666665,4.667902695001294,15,349.0,0.18561425431778825,15,349.0,False,,
530.0,17,183.0,4.357142857142857,5.514003246746293,17,262.0,0.23837164353941068,17,262.0,False,,
535.0,19,233.0,6.131578947368421,3.6258009941441145,19,330.0,0.1035600922751151,19,330.0,False,,
540.0,16,295.0,7.564102564102564,5.111658295224837,16,380.0,0.20868902243879892,16,380.0,False,,
545.0,12,174.0,4.142857142857143,6.08257411056726,12,359.0,0.2954889637682715,12,359.0,False,,
550.0,13,149.0,3.725,5.482758579465354,13,278.0,0.28124202664306186,13,278.0,False,,
555.0,15,188.0,4.7,4.018683161813985,15,306.0,0.1552684415334783,15,306.0,False,,
560.0,15,236.0,5.7560975609756095,5.3550842220677,15,353.0,0.24366335255567356,15,353.0,False,,
565.0,17,317.0,8.128205128205128,6.293900706589491,17,404.0,0.23649922107741872,17,404.0,False,,
570.0,17,308.0,7.897435897435898,5.232811843928767,17,395.0,0.22473003806719755,17,395.0,False,,
575.0,24,413.0,11.8,3.504653132321021,24,500.0,0.11844085359099124,24,500.0,False,,
580.0,21,489.0,11.372093023255815,4.401923886569856,21,601.0,0.29130357501845056,21,601.0,False,,
585.0,18,568.0,13.853658536585366,5.608458078731029,18,667.0,0.3369494743137276,18,667.0,False,,
590.0,23,670.0,14.25531914893617,5.484612984168172,23,755.0,0.21995833577431553,23,755.0,False,,
595.0,26,793.0,18.88095238095238,4.180577518380948,26,878.0,0.16012742612977457,26,878.0,False,,
600.0,29,932.0,22.73170731707317,2.7487299042421003,29,1017.0,0.10605264788067736,29,1017.0,False,,
605.0,27,1046.0,25.51219512195122,2.9238980832827766,27,1146.0,0.15494850155599205,27,1146.0,False,,
610.0,26,1173.0,27.27906976744186,3.4106124689070616,26,1261.0,0.15351057759850067,26,1261.0,False,,
615.0,24,963.0,19.653061224489797,4.683356300480233,24,1240.0,0.24039346470021497,24,1240.0,False,,
620.0,16,762.0,15.875,4.8786430235841545,16,1100.0,0.25254513796878236,16,1100.0,False,,
625.0,18,350.0,7.291666666666667,4.9595432497604115,18,891.0,0.2369828896008323,18,891.0,False,,
630.0,14,120.0,2.5,5.3456465838232345,14,566.0,0.24384513077565084,14,566.0,False,,
635.0,18,110.0,2.5,4.295942718313813,18,545.0,0.14942154404318056,18,545.0,False,,
640.0,19,150.0,3.3333333333333335,4.715732632576751,19,569.0,0.21536857442732674,19,569.0,False,,
645.0,17,141.0,3.357142857142857,4.420528259505647,17,544.0,0.18889748708845427,17,544.0,False,,
650.0,17,137.0,2.9148936170212765,5.387383865541514,17,435.0,0.30172423837426743,17,435.0,False,,
655.0,19,134.0,2.7916666666666665,5.431116580484146,19,418.0,0.30095000881188366,19,418.0,False,,
660.0,23,205.0,4.456521739130435,4.022136266195859,23,370.0,0.1615747312877085,23,370.0,False,,
665.0,24,219.0,4.659574468085107,3.5267726344763797,24,440.0,0.1392325853151973,24,440.0,False,,
670.0,21,188.0,4.177777777777778,3.5898237506058277,21,461.0,0.14098873472859377,21,461.0,False,,
675.0,19,252.0,5.361702127659575,5.496979035742045,19,456.0,0.2216291073619392,19,456.0,False,,
680.0,16,202.0,4.488888888888889,4.902502698578012,16,457.0,0.22948333233871945,16,457.0,False,,
685.0,17,200.0,4.444444444444445,5.378379175005614,17,385.0,0.2825848524510939,17,385.0,False,,
