step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,82,2020.0,9.017857142857142,6.318891753438306,2,39.0,0.49605917681210987,15,419.0,0.24931517363216155,0,4.0,0.9122837425133208,5,21.0,0.5410189241164959,27,974.0,0.07991043916242502,0,0.0,1.0,0,4.0,0.8812585504038015,1,13.0,0.41612244725984593,0,0.0,0.9620501178063028,0,0.0,0.9500364629378566,13,385.0,0.1608240077013162,0,4.0,0.7063071793667606,1,9.0,0.5024401884793199,0,2.0,0.8780369670681537,18,424.0,0.275843150158994,0,2.0,0.849854850279809,82,2300.0
105.0,90,1966.0,8.737777777777778,6.191609239665172,9,68.0,0.36101557251809463,16,412.0,0.16741470006547654,0,4.0,0.9110423485471614,5,46.0,0.4502627823282015,28,1110.0,0.1109643191788674,0,0.0,0.7485809214972424,0,0.0,0.8489260906110434,4,18.0,0.553341127890109,0,2.0,0.8377796782161593,0,0.0,0.9610775086898059,5,270.0,0.3994217129450233,0,4.0,0.8060147688005581,3,6.0,0.4050836215474566,0,4.0,0.9098086827283639,20,523.0,0.16849064556701035,0,0.0,0.532731450498958,90,2467.0
110.0,84,2094.0,8.872881355932204,6.289677451497375,11,121.0,0.31035209997616525,8,301.0,0.27405047593155646,1,9.0,0.3621659561913748,5,71.0,0.4210379342379719,30,1257.0,0.1660554965335553,0,0.0,0.8877622830957898,0,0.0,0.8630315772953445,4,38.0,0.6395416379274368,1,5.0,0.707939971485943,0,0.0,0.9708204599599779,1,241.0,0.4601271649895677,1,5.0,0.6541590926216806,0,6.0,0.36369696950694996,0,4.0,0.9514073511838594,22,631.0,0.07635593562116871,0,0.0,0.6794915239637191,84,2689.0
115.0,105,2501.0,10.377593360995851,5.597311381081973,14,184.0,0.30842685483230614,3,269.0,0.34077206280930933,7,33.0,0.41312160955530314,5,96.0,0.48000356421759405,32,1413.0,0.13915797656725282,0,0.0,0.9064360943459032,1,1.0,0.24900676902202246,4,58.0,0.5677638577806843,3,15.0,0.6970065019590297,0,0.0,0.9775080999737368,9,266.0,0.35092055446471754,0,6.0,0.39690341772423404,0,0.0,0.9461063329001307,2,6.0,0.46758574119136626,24,748.0,0.12306998533317559,1,7.0,0.2308837056258292,105,3102.0
120.0,127,3065.0,12.613168724279836,4.842029005922411,15,255.0,0.26472219631283433,9,299.0,0.25131833207693477,7,68.0,0.4307966623125602,5,121.0,0.35164812530768325,34,1580.0,0.028788583614881198,0,0.0,0.9128771745744081,3,14.0,7.143186630759681e-05,4,78.0,0.4465665664477144,1,9.0,0.5046393417721542,0,0.0,0.9531302765380785,16,329.0,0.21062162935205994,5,20.0,0.4641556388389369,0,4.0,0.45206632993479434,1,7.0,0.3990341461317989,26,875.0,0.21036485619050316,1,9.0,0.7185068697227488,127,3668.0
125.0,132,3494.0,14.032128514056225,4.784571863804239,16,333.0,0.24038493591353127,14,362.0,0.202681258419784,2,61.0,0.13904997116691725,1,85.0,0.2960335343184593,36,1756.0,0.05093076771867213,0,2.0,0.41589297037470935,0,6.0,0.5943578992516191,4,98.0,0.32970976932302126,5,20.0,0.37911134675365943,0,0.0,0.9281450691245773,20,423.0,0.2092754382368877,5,45.0,0.5765541157038749,0,4.0,0.873909762318505,1,5.0,0.48835978754510717,28,1012.0,0.1981397770484789,0,4.0,0.8228395758112148,132,4216.0
130.0,134,3640.0,14.387351778656127,5.12616280384393,14,338.0,0.2742948362271729,15,441.0,0.2266711098438069,5,21.0,0.00044479008975780354,3,21.0,0.5608747640308679,36,1936.0,0.05124289562704358,0,2.0,0.9150861966032703,0,0.0,0.9704461041265505,4,118.0,0.0,6,50.0,0.3818919682679212,1,1.0,0.7742471104354329,22,530.0,0.14119914674076645,5,66.0,0.5155511003632817,0,4.0,0.9113555716921344,0,2.0,0.7883191029566814,23,1008.0,0.17855141246989686,0,4.0,0.7919236352993863,134,4542.0
135.0,100,2585.0,10.298804780876495,5.262445492593517,7,231.0,0.2766878971837908,15,516.0,0.35387227900898344,0,19.0,0.4417593142843016,0,13.0,0.8984995908372504,30,1899.0,0.027228552961441263,0,4.0,0.7364917948940541,0,4.0,0.3916554865075972,0,64.0,0.3579283497092561,1,44.0,0.4265557752448441,1,8.0,0.7170073088423677,24,646.0,0.04233799793570865,1,48.0,0.5074213387541628,0,4.0,0.5891387435956412,0,0.0,0.78126396749032,21,871.0,0.16283359099197062,0,4.0,0.8900089316856968,100,4375.0
140.0,89,1890.0,7.52988047808765,5.267085363751854,2,238.0,0.32122552609976723,15,591.0,0.2210296650980152,0,0.0,0.8870693840412223,1,7.0,0.5753040148316558,24,1566.0,0.07660041906923977,2,9.0,0.6482795949036166,0,4.0,0.8813840339716169,0,4.0,0.96040032205194,2,11.0,0.5152415691004123,1,15.0,0.8241481057376963,25,774.0,0.07131996826685813,3,10.0,0.33536530815084487,0,4.0,0.8874576919992233,0,0.0,0.6149172343017587,14,891.0,0.14873972229900467,0,4.0,0.8794001240140795,89,4128.0
145.0,92,1658.0,6.32824427480916,5.447484093548368,7,258.0,0.3504069850879992,20,681.0,0.1536036134516146,0,0.0,0.9117834928560643,7,29.0,0.1960805955205643,16,1648.0,0.21137450904933455,0,7.0,0.8152961425918028,0,4.0,0.9467355013869732,0,4.0,0.9549321873082375,0,3.0,0.6706162350917378,1,20.0,0.8182661824245515,27,907.0,0.18345662599671908,0,10.0,0.5866616792211444,0,8.0,0.7877276103791541,3,12.0,0.5177004047062232,10,926.0,0.15273374742562185,1,7.0,0.29784702492230425,92,4524.0
150.0,111,1797.0,6.781132075471698,5.203966075193324,14,317.0,0.233555921552403,22,787.0,0.14909667052548062,0,0.0,0.8790410040461116,7,68.0,0.09872080203596265,13,1718.0,0.30537126533058484,1,5.0,0.5083398252662225,0,0.0,0.9280332630081594,0,0.0,0.95369693468602,0,0.0,0.9498916906464331,3,29.0,0.5223502421395434,30,1052.0,0.1978787881410761,0,0.0,0.8646581646539502,0,4.0,0.8356478877404349,0,5.0,0.5830517532262663,14,972.0,0.09086354655172403,7,33.0,0.3795294545437947,111,4990.0
155.0,123,1928.0,6.96028880866426,5.174769909092588,20,407.0,0.21247783736383152,17,742.0,0.16709175227892523,1,2.0,0.005143908151077623,1,62.0,0.5329556788509675,13,1773.0,0.2463432128974633,6,23.0,0.002588859803826504,0,0.0,0.9156636722161827,0,0.0,0.5900867028887772,0,2.0,0.8358134912043645,6,52.0,0.3485306522780555,31,1202.0,0.15500961079044492,0,0.0,0.9686761300059036,0,4.0,0.8509636088202759,0,0.0,0.8815435498758193,21,1062.0,0.12805862184552216,7,68.0,0.46316940261809825,123,5399.0
